Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,GDP (current US$),4274894083.33,4817580375.00,5081413541.67,5319458562.50,5386054833.33,5906636791.67,6439687854.17,7253575687.50,7483685770.83,8471006437.50,8992722166.67,8751843187.50,6288245866.67,8086725729.34,12512460519.71,19448348073.46,10117113333.33,9651149301.87,13281767142.86,15565480321.94,18138049095.61,20249694002.45,18525399201.60,17609048821.55,18920840000.00,22278423076.92,21774033333.33,24298032258.06,26579005558.37,28781715188.89,31598340778.22,30957483949.58,31708874594.16,33166519417.99,33768660882.79,37939748768.66,46438484107.58,48244309133.49,49984559471.37,51270569883.53,53369787318.62,53991289844.33,54724081490.51,60158929188.26,65108544250.04,69476001429.86,71795735672.01,79611644984.36,91636997445.24,102475158462.51,115275540861.36,128607482927.47,133310747047.53,149998957327.03,172886611131.26,195146607942.29,265224514652.99,293732447017.33,321362751137.57,351231655150.83,373979442653.34,416271647002.44,460131688909.30,437415331040.99
Bulgaria,BGR,GDP (current US$),,,,,,,,,,,,,,,,,,,,,19839230769.23,19870000000.00,19342000000.00,16563666666.67,17594944444.44,17155421052.63,20249294117.65,28101000000.00,22555941176.47,21988444444.44,20632090909.09,10943548387.10,10350515463.92,10832064941.65,9697416974.17,18991484420.36,12294964837.62,11316127378.96,15031055046.76,13627325461.17,13245990274.46,14183446025.74,16403043849.83,21144957990.47,26157743368.87,29868657858.01,34380536495.67,44432811756.47,54480684188.44,52023801230.12,50760929302.51,57737040780.02,54288135058.79,55852123989.95,57157782909.93,50811995688.68,53964253211.84,59309748166.12,66370132238.39,68881010245.55,70368758395.14,84041493015.66,90346169914.93,101584384672.79
Bahrain,BHR,GDP (current US$),,,,,,,,,,,391577364.83,422181562.10,534081183.55,761132544.61,1042176882.55,1099107600.26,1581709519.30,1989060283.11,2272042966.44,2710160740.28,3493834466.84,3943109531.80,4145421079.98,4247030467.41,4440874566.64,4152376484.48,3470746843.81,3856922695.41,4209834173.80,4393093961.84,4809511004.96,5248911170.21,5402232446.81,5913001063.83,6330627925.53,6651180851.06,6938166755.32,7219407712.77,7031309042.55,7528469148.94,9062898936.17,8976196808.51,9593510638.30,11074813829.79,13150159574.47,15968723404.26,18504760638.30,21730000000.00,25710904255.32,22938218085.11,25713271276.60,28776595744.68,30749308510.64,32539468085.11,33387712765.96,31125851063.83,32250132978.72,35423643617.02,37802005319.15,38653318085.11,34621807712.77,39288670212.77,44383297872.34,43205000000.00
"Bahamas, The",BHS,GDP (current US$),169803921.57,190098039.22,212254901.96,237745098.04,266666666.67,300392156.86,340000000.00,390196078.43,444901960.78,528137254.90,538423153.69,573400000.00,590900000.00,670900000.00,632400000.00,596200000.00,642100000.00,713000000.00,832400000.00,1139800100.00,1335300000.00,1426500000.00,1578300000.00,1732800000.00,2041100000.00,2320699900.00,2472500000.00,2713999900.00,2817900000.00,3062000000.00,3166000000.00,3111160000.00,3109000000.00,3092000000.00,3259000000.00,3429000000.00,3609000000.00,6332360000.00,6833220000.00,7683870000.00,8076470000.00,8317830000.00,8881160000.00,8870090000.00,9055290000.00,9836200000.00,10167250000.00,10618340000.00,10526000000.00,9981960000.00,10095760000.00,10070450000.00,10720500000.00,10395800000.00,10974100000.00,11671900000.00,11745100000.00,12236700000.00,12615800000.00,13016200000.00,9958200000.00,11368900000.00,13136400000.00,14338500000.00
Bosnia and Herzegovina,BIH,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7753478260.87,6122959183.67,4735044707.24,3630668949.83,1255802469.14,1866572953.74,2786045321.64,3671909673.04,4116774300.61,4686256363.05,5567772768.81,5800615466.27,6728220886.65,8498894359.39,10156541538.40,11222796336.54,12864841905.95,15778734264.38,19112796623.12,17613949091.23,17176315803.73,18644233537.11,17226735995.69,18179108530.53,18558733564.47,16404348871.44,17116926327.62,18326373366.11,20484053868.92,20482608755.38,20226036564.41,23672712242.21,24534663636.18,27054889362.89
Belarus,BLR,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200000000.00,16416666666.67,14952100840.34,13970425776.75,14756846153.85,14130585516.18,15221352698.89,12138243080.63,12736780455.15,12354820143.88,14594900944.77,17825444724.49,23141566292.95,30210091836.83,36961894281.34,45275711995.83,60752106347.13,50873167326.04,57231904542.88,61762382327.93,65685890438.89,75527558966.45,78812805039.07,56454889146.61,47723545321.26,54725302249.81,60031173807.72,64410122847.35,61371755326.24,69673747131.87,73775179924.60,71857382745.61
Belize,BLZ,GDP (current US$),28072478.07,29964999.97,31857591.86,33750113.75,36194586.19,40110040.11,44450044.45,47431255.75,44999910.00,47399905.20,53339893.32,59074687.20,65998069.38,78214767.83,103160450.45,118194026.25,97094227.23,117650000.00,136300000.00,151800000.00,197938222.43,196089854.66,182206326.99,192103185.96,214381949.02,212643742.67,231638320.54,281082558.59,320093360.27,369133890.71,545686365.52,594975697.05,693625168.25,750018765.33,769649509.48,816491620.23,848205276.87,870861115.18,926550756.04,996906468.69,1134756760.62,1168127973.94,1240059540.09,1303381860.76,1394273990.60,1468145956.20,1584207353.22,1699214298.91,1731921564.07,1681473348.43,1739070295.44,1818831938.18,1899503249.86,2021757434.18,2125125606.26,2194709309.24,2240593542.98,2266664817.09,2292787335.62,2386792476.11,2047727810.07,2424575179.38,2830507575.68,3281500000.00
Bermuda,BMU,GDP (current US$),84466652.59,89249985.13,94149984.31,96366650.61,107566648.74,114339050.29,134173375.34,155102980.09,150000000.00,164900000.00,186300000.00,211100000.00,235400000.00,269500000.00,312600000.00,345000000.00,386300000.00,447000000.00,475800000.00,517200000.00,613299968.00,739100032.00,785500032.00,889400000.00,985699968.00,1039500032.00,1173500032.00,1296499968.00,1415100032.00,1501500032.00,1592400000.00,1634900000.00,1679900000.00,1820359900.00,1867160100.00,2030750000.00,2695390000.00,2932827000.00,3130748000.00,3324433000.00,3480219000.00,3680483000.00,3937228000.00,4186525000.00,4484703000.00,4868136000.00,6144000000.00,6767000000.00,6980000000.00,6656000000.00,6634526000.00,6312691000.00,6378188000.00,6465756000.00,6413988000.00,6654541000.00,6899911000.00,7142316000.00,7225977000.00,7423465000.00,6887147000.00,7286607000.00,7827980000.00,
Bolivia,BOL,GDP (current US$),373250000.00,406000000.00,443916666.67,478000000.00,538583333.33,598333333.33,662500000.00,748250000.00,849333333.33,920333333.33,1006833333.33,1084666666.67,1286153846.15,1263600000.00,2101300000.00,2405900000.00,2733350000.00,3229050000.00,3760100000.00,4510500000.00,4450368036.69,5778487836.54,5600385567.81,5414008064.03,6169304491.54,5377276656.90,3959383519.78,4347956337.83,4597611710.02,4715973437.39,4867582597.52,5343262457.10,5643868748.68,5734699488.85,5981222858.83,6715161732.23,7396949126.36,7925736821.45,8497494652.13,8285064434.57,8397855484.77,8141516928.39,7905485146.44,8082399639.54,8773451751.51,9549122905.33,11451844902.22,13120108008.35,16674276285.90,17339992193.73,19649723722.10,23963164696.59,27084497481.91,30659338885.67,32996188017.37,33000198248.91,33941126193.92,37508642170.77,40287647930.54,40895322850.94,36629843806.08,40406111693.20,44008282879.88,45849832906.41
Brazil,BRA,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425595310393.46,384959818181.82,342534090909.09,328191909882.23,368292034380.96,525369467295.74,769333050986.91,850426432991.74,883206179730.46,863710759256.44,599642024319.53,655448231983.53,559983634798.98,509795273806.72,558233745651.87,669289424806.31,891633839853.11,1107626541710.74,1397114486471.38,1695855083552.05,1666996438681.46,2208837745214.23,2616156223977.47,2465227803011.57,2472819535742.73,2456043727198.85,1802212206904.68,1795693482652.52,2063514977334.32,1916933898038.36,1873288205186.45,1476107231194.11,1670647399034.67,1951923942083.32,2173665655937.27
Barbados,BRB,GDP (current US$),80021380.29,85363261.49,88782065.45,99893178.34,99252152.59,105021384.28,113194462.51,125553936.24,125733668.57,141393142.23,166210202.81,186824232.86,213723103.12,260770622.82,311809337.47,402178605.02,435911268.59,495097667.93,552883707.06,670362452.15,1012280614.53,1114204743.20,1163923830.36,1236016506.74,1346890071.10,1409536120.92,1547755183.21,1704370307.76,1812757917.76,2006165166.81,2012131457.27,2020583702.08,1957000000.00,2063342117.04,2151344901.31,2216974096.36,2363645403.47,2498384129.67,2817083478.35,2951822204.54,3059500000.00,3054500000.00,3106500000.00,3209500000.00,3444500000.00,3819500000.00,4217323400.00,4675767950.00,4790410400.00,4466809600.00,4534772750.00,4662343500.00,4622687600.00,4693452700.00,4711838650.00,4738650450.00,4848210350.00,5000457800.00,5128345200.00,5367139250.00,4779756550.00,4945276000.00,5840673700.00,6393564189.61
Brunei Darussalam,BRN,GDP (current US$),,,,,,114039500.59,132757528.04,139029537.24,160818235.87,161210236.44,179078929.32,197525767.79,270822782.03,433095526.69,1073591624.00,1168304305.66,1423037167.09,1732721160.94,1941579358.19,2803834158.48,4928806542.85,4366230382.85,4264202521.00,3844632166.77,3782553233.98,3523532486.42,2358574402.61,2754485672.49,2690684124.87,2985532273.17,3520487626.98,3701774188.88,4183632940.38,4105729020.65,4087220218.88,4734103536.47,5115454089.63,5197311972.07,4051142386.30,4600116699.13,6001282104.08,5601018684.25,5843368267.85,6557397070.23,7872202803.41,9531420027.79,11470464771.01,12247677993.92,14393434224.76,10732595016.12,13707280259.98,18525128526.38,19048443340.77,18094321616.80,17097802752.87,12930291487.96,11400466356.39,12128183904.45,13566937673.80,13469235364.70,12005799653.98,14006496617.45,16681536466.72,15128292953.51
Bhutan,BTN,GDP (current US$),,,,,,,,,,,61812113.04,66289450.33,70139866.79,78900289.31,92901784.54,86820762.47,88461262.74,97884433.76,94086227.65,105377995.19,128669200.89,139174178.06,141439317.41,156704289.90,160423493.96,163288815.32,191218115.49,242742766.35,272298066.54,264798626.16,287765007.11,240294286.02,240233531.16,225973692.84,258954708.05,290490983.82,303408345.62,352229076.71,363458380.90,399311199.51,460733418.40,496110225.71,559345263.71,651935430.31,735348490.43,860391000.22,942879878.54,1255767964.00,1317517834.60,1331343797.77,1673464261.28,1938441288.79,1939730676.17,1913162477.22,2057330872.73,2154921010.66,2322730512.47,2591358115.16,2583335723.32,2735683408.58,2457604042.41,2768802803.18,2898227713.22,
Botswana,BWA,GDP (current US$),30411413.66,32902612.87,35644956.64,38091842.85,41616347.79,45788696.33,51465655.39,58642354.09,66248441.42,77361546.51,96243233.66,127448613.51,164460914.98,244124164.04,306044207.53,355168571.54,372025093.01,451624780.27,590407374.45,819870258.78,1060889703.75,1073812830.30,1014945695.72,1172230396.58,1240822167.44,1114783342.72,1392602163.54,1965226890.05,2644554158.73,3083822112.02,3790636324.45,3942876703.45,4146464586.62,4160129174.71,4259259604.16,4730599121.93,4847757217.76,5020265626.66,4790481509.18,5484263346.88,5788329609.16,5489608299.66,5438863982.89,7511582173.38,8957467706.54,9918907108.10,9919158482.41,10567270655.50,10730829116.41,10118459242.32,12637273429.13,15110643612.17,13907464500.15,14271738933.20,15470088500.74,13530748844.51,15082637184.05,16105155856.77,17031943186.14,16725908148.55,14960291105.93,18750946600.14,20321958850.04,19395765126.31
